"Ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","target","name","description","Name"
"ENSMUSG00000000202",0.220542350664049,0.232746515876455,2.1326354967052,0.10913562877296,0.913094915979468,NA,"72014","Btbd17","BTB (POZ) domain containing 17 [Source:MGI Symbol;Acc:MGI:1919264]","Btbd17"
"ENSMUSG00000000305",22.0312707829171,-0.0589266484496683,0.293615136422377,-0.200693496826063,0.840938245042717,0.969580588688398,"12561","Cdh4","cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]","Cdh4"
"ENSMUSG00000000317",17.6102687131302,0.939444425215918,0.235525240169767,3.98872080350608,6.64305518106816e-05,0.0155779643996048,"12029","Bcl6b","B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]","Bcl6b"
"ENSMUSG00000000318",8.34889356750523,0.159332137846132,0.370176687729054,0.430421858339047,0.666888797800729,0.920365412953041,"17312","Clec10a","C-type lectin domain family 10, member A [Source:MGI Symbol;Acc:MGI:96975]","Clec10a"
"ENSMUSG00000000339",211.615534075293,-0.0988010185108723,0.102675328196768,-0.962266400761138,0.335915802042533,0.752462673174135,"66368","Rtca","RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]","Rtca"
"ENSMUSG00000000392",3.50597169720072,-0.296927289170326,0.426402338568706,-0.696354738970274,0.486206700501639,0.845603000748832,"14089","Fap","fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608]","Fap"
"ENSMUSG00000000555",540.346664393678,-0.468240751042075,0.153791246328266,-3.04465151444719,0.00232950059402049,0.124971209423757,"16402","Itga5","integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]","Itga5"
"ENSMUSG00000000579",1.81188456051042,-0.780107685754075,0.632437791163786,-1.23349315403583,0.217391829313536,0.660772826676772,"100040563","Dynlt1c","dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]","Dynlt1c"
"ENSMUSG00000000739",237.741830883235,-1.11334887062152,0.433357343184052,-2.56912427614885,0.0101955886316407,0.215717191048398,"57429","Sult5a1","sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]","Sult5a1"
"ENSMUSG00000000753",8897.33116003572,0.158805187618956,0.134011584005905,1.18501089884856,0.23601313773095,0.675670782002974,"20317","Serpinf1","serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]","Serpinf1"
"ENSMUSG00000000776",150.398449047822,-0.125270591335942,0.155055882490453,-0.807906087301489,0.419144646772984,0.817520318338929,"67065","Polr3d","polymerase (RNA) III (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1914315]","Polr3d"
"ENSMUSG00000000804",464.674789155413,0.0575218853394838,0.0979266774321233,0.587397498290028,0.556936773609105,0.882234605120498,"237898","Usp32","ubiquitin specific peptidase 32 [Source:MGI Symbol;Acc:MGI:2144475]","Usp32"
"ENSMUSG00000000826",869.443706595497,0.154498513715451,0.084261457760258,1.83356089275161,0.0667192018134501,0.43957034803253,"13002","Dnajc5","DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]","Dnajc5"
"ENSMUSG00000000838",330.45967456089,0.0988607870852967,0.107632343240441,0.918504457943937,0.358354826140736,0.76860554935978,"14265","Fmr1","fragile X messenger ribonucleoprotein 1 [Source:MGI Symbol;Acc:MGI:95564]","Fmr1"
"ENSMUSG00000000884",37.7214112638735,0.117975037539503,0.187539372989019,0.629068102656024,0.529304471861482,0.868308082529878,"13972","Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]","Gnb1l"
"ENSMUSG00000000942",5.71267293861154,-0.0286417958261719,0.371179804319507,-0.0771642085395287,0.938492914169136,0.989009526920072,"15401","Hoxa4","homeobox A4 [Source:MGI Symbol;Acc:MGI:96176]","Hoxa4"
"ENSMUSG00000000958",104.19264192774,-0.449985839474657,0.252995887389168,-1.77862906831553,0.0753005951798853,0.457333814088079,"20540","Slc7a7","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 [Source:MGI Symbol;Acc:MGI:1337120]","Slc7a7"
"ENSMUSG00000001014",8.45055440351244,-0.894693967569909,0.31870480761361,-2.80728105192129,0.00499616304889814,0.162029466060681,"78369","Icam4","intercellular adhesion molecule 4, Landsteiner-Wiener blood group [Source:MGI Symbol;Acc:MGI:1925619]","Icam4"
"ENSMUSG00000001054",218.206166568441,0.054765753141117,0.0967765139246147,0.565899213767687,0.57146229608083,0.890911302588064,"66089","Rmnd5b","required for meiotic nuclear division 5 homolog B [Source:MGI Symbol;Acc:MGI:1913339]","Rmnd5b"
"ENSMUSG00000001076",5.37184956752238,-0.281997358632493,0.460670835835785,-0.612145021338004,0.540441812750299,0.871916971011428,"239659","C1ql4","complement component 1, q subcomponent-like 4 [Source:MGI Symbol;Acc:MGI:3579909]","C1ql4"
"ENSMUSG00000001095",34.1716063241052,-0.975450064558447,0.405301800894519,-2.40672521663014,0.0160962758238301,0.264882574083379,"20500","Slc13a2","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:MGI Symbol;Acc:MGI:1276558]","Slc13a2"
"ENSMUSG00000001120",29.6741633152818,0.537137152817629,0.180738031714452,2.97190993905616,0.00295953484117963,0.139186920326498,"59093","Pcbp3","poly(rC) binding protein 3 [Source:MGI Symbol;Acc:MGI:1890470]","Pcbp3"
